customer_id,name,age,income,credit_score,employment_status,existing_debt,has_defaulted,is_approved
96734692-147e-4966-8f75-510a41801537,Kristy Wood,32,25689,805,Employed,27716,0,1
50d98476-b8bd-48d7-b4be-88704f459fc9,Melinda Knapp,55,81810,791,Self-employed,27418,1,0
267fcc35-4250-4ff8-a20c-962e38bb89fd,Andre Garcia,21,36263,411,Unemployed,11821,0,1
63fab396-f933-4d37-8b44-de8279247a28,Elizabeth Smith,25,115078,573,Self-employed,34613,1,1
01c89f93-b438-4601-a2c0-a1fef1c03aed,Stephen Swanson,42,26016,435,Self-employed,4042,1,0
157f6d5e-1eb6-444b-b509-b4d048c1abb8,Scott Thompson,40,88157,704,Self-employed,47700,1,1
0bd49f1a-3668-4187-957d-12c02a2d123c,Kara Edwards,21,45344,608,Self-employed,35080,0,1
763f7520-6593-46ee-b488-fcf2070f5361,Natalie Molina,38,110906,412,Self-employed,7197,0,0
1cfc8bec-5303-433e-a3b4-bd9080ead343,Michael Flores,18,110163,510,Student,47682,1,0
da61de1b-f330-4f7e-be24-aa178d93b7e8,Cameron Carter,32,38600,628,Unemployed,8518,1,0
d6ec8c4c-0a9e-441f-90dd-c4d8f2baaa69,Samantha Stone,25,68260,786,Self-employed,6511,1,1
aca7724f-11c3-4632-a035-78c9a7da0274,Mr. Paul Joseph Jr.,62,56081,730,Unemployed,8604,1,0
857b3ebe-8efc-4f63-b452-dbf96070e71b,Keith Gutierrez,29,32071,706,Self-employed,49783,0,1
8f50e2d4-6bb5-4edf-b6b1-856e799e0cbc,Lindsey Vaughn,66,56251,342,Student,23062,0,1
db90287c-7b1c-44e6-b27d-85d3d5a031cb,Sabrina Mccullough,50,39474,444,Unemployed,48988,0,1
25514c4b-8c3e-4e6e-9754-95c639dc4b05,Eric Bradley,24,105674,560,Self-employed,49376,0,0
dadc60c1-2f8f-4e78-847e-f6ac270cc8c8,Cindy Vasquez,62,82943,331,Unemployed,33905,0,1
9e303743-ed9d-4506-8d5f-75faf9540f23,Douglas Cooper,56,93842,473,Employed,5431,0,1
4598c0d2-ac9b-4e01-b667-4c4324487ed6,Angel Jensen,59,38808,721,Self-employed,9698,0,0
eaba754b-3ec8-4b8b-8392-897637a2142e,Erin Ewing,25,23607,467,Employed,23164,1,0
9cc7780c-ae92-449a-84fc-a66303a684a8,Veronica Sharp,34,94318,759,Self-employed,31842,0,0
8d9da914-4934-4a34-88ef-ffbce44dbbe8,Joshua Carter,58,47487,656,Employed,12157,0,1
5a601b54-a829-4eee-bcf9-b6ae6a68210d,Jill Sanders,32,101589,471,Unemployed,19861,1,1
2e37135a-09d5-4ce1-8fca-dc34e290af19,Jeremy Schneider,52,41628,660,Employed,8155,1,0
175ae12a-702a-4ad1-ae42-1e8da6aa74bc,Lisa Garcia,45,100207,694,Self-employed,16286,1,0
4436dc05-709d-42c8-8125-e1460f100c93,Brittany Melendez,32,28880,600,Student,46540,1,0
2906cc52-14f8-44c4-8019-2baf426b80d3,Angela Morgan,68,70380,382,Self-employed,41878,0,0
b474f4cc-6952-4522-84d4-517b7b569059,Karen Johnson,46,115098,502,Student,19874,1,1
dd3061c2-1f05-41a0-b8ef-b6c6d051dc84,Adrian Weaver,42,111242,601,Unemployed,10495,0,1
1b19a7ce-dda0-4eaf-8805-eaac44baf56f,Evan Coleman MD,67,77987,553,Self-employed,41791,0,1
97532ac1-cf78-4823-9145-321dc58ea81b,Jeffrey Macdonald,34,110762,782,Unemployed,19392,1,1
0f1dd524-6505-474b-aac9-912688209efb,April Rios,67,115880,568,Self-employed,4458,0,0
2ea0a387-c7d7-47a6-9433-55f9bcb9bfe1,Ashley Graves,52,119495,713,Unemployed,28104,1,0
d7d7a0e0-f49b-45a4-bebf-023882b0374c,Victor Keller,26,21612,750,Unemployed,32984,0,1
1ee1b5dd-a052-49d9-8231-d51a4a10d588,Amanda Nolan,25,52349,708,Employed,21988,1,1
5aa5b7ee-5a96-4e75-91af-e575b7fa047f,Cassandra Ewing,58,49594,428,Student,661,1,1
c3d084e4-71e1-44c4-b838-66e1d87cf06c,Kristina Mitchell,67,65929,384,Unemployed,47050,0,1
158fab65-822f-498d-bbdc-531451797313,Jared Lara,32,22803,422,Self-employed,15454,0,1
77fca466-770b-4cc5-afd5-0f706bf76fb0,Mr. Nicholas Flores,31,92895,663,Student,39360,1,0
02e82955-7d0a-4bff-a291-87a9508d59a5,Anna Palmer,30,112322,529,Self-employed,41472,0,1
e42b417f-5cf1-4d32-94f2-898a645564c2,Ashley Schmitt,21,46994,476,Self-employed,661,0,1
6d7f8a13-8a8d-462f-a1be-4b3ed41b0cc2,Dr. Tiffany Norman PhD,30,96499,587,Student,46939,1,1
07ba6654-2a36-4852-8644-6fb7ca10e26e,Willie Matthews,56,38197,401,Unemployed,33748,0,1
bd1f47b6-30b8-4bd0-b18d-513993794fa5,Duane Baker,50,81163,390,Unemployed,35247,0,1
4cc99975-9fa5-40e6-8c13-864e5744aa1d,Phillip Henry,64,44697,306,Employed,854,1,0
c96c19b6-fc79-4890-ba48-c2d2ae91623a,Alyssa Miller,49,92226,783,Employed,26611,1,1
8432f342-32fe-4873-b55f-aa946afed612,Elizabeth Bell PhD,28,92568,677,Student,8139,0,1
0f64c13b-373f-438c-9f23-6b895ca27d6c,Don Edwards,23,51466,773,Student,18198,0,0
4b25fc1a-f26c-4273-af98-5605fec2aa57,Nicholas Mitchell,35,59230,484,Employed,18061,1,0
00d297c8-349c-4b9b-a356-18b01670c0c3,Jennifer Frost,34,68783,537,Employed,28095,1,1
